# Session DeviceID Occasion X Y Sex
McK18 D82510 1 549078.753948295 4908998.17898754 F
McK18 D82510 1 548736.172784484 4909085.81312568 F
McK18 D82510 1 548848.199521495 4909156.16369007 F
McK18 D82510 1 549770.654956561 4909078.85698291 F
McK18 D82510 1 548814.869262878 4908826.83826982 F
McK18 D82510 1 549114.682113216 4908944.85241131 F
McK18 D82510 1 547090.990097714 4906977.95050562 F
McK18 D82510 1 549063.156836117 4904991.36026024 F
McK18 D82510 1 547908.080862824 4905093.7381263 F
McK18 D82510 1 548966.919233785 4906912.02603176 F
McK18 D82510 1 548765.343718773 4907327.43770018 F
McK18 D82510 1 548886.820654791 4907411.44388065 F
McK18 D82510 1 548762.444029053 4907211.49265326 F
McK18 D82510 1 548654.169953747 4907228.09253354 F
McK18 D82510 1 548785.003392127 4907224.62396925 F
McK18 D82510 1 548521.083527866 4907453.55203237 F
McK18 D82510 1 547903.135801875 4907443.16453112 F
McK18 D82510 1 548244.887253739 4906900.63977303 F
McK18 D82510 1 548040.231803595 4907205.28125773 F
McK18 D82510 1 547826.550387854 4908103.21998086 F
McK18 D82510 1 547310.558119791 4908416.5329804 F
McK18 D82510 1 548590.763586149 4907255.51338389 F
McK18 D82510 1 548052.347699118 4905009.19777635 F
McK18 D82510 1 547889.659091017 4905168.04892277 F
McK18 D82510 1 549131.627829217 4908460.7013498 F
McK18 D82510 1 549370.021150975 4910769.85864256 F
McK18 D82510 1 549415.598391815 4910862.55609251 F
McK18 D82510 1 549387.49496502 4910605.13527141 F
McK18 D82510 1 548748.333509088 4909127.21470469 F
McK18 D82510 1 546853.582905309 4907409.42348894 F
McK18 D82510 1 546386.77402015 4907395.19871476 F
McK18 D82510 1 547094.891115832 4907223.67615702 F
McK18 D82510 1 545985.697463789 4906810.86440706 F
McK18 D82510 1 547769.025737022 4905992.52325686 F
McK18 D82522 1 574719.079807773 4891702.4558636 F
McK18 D82522 1 574674.862376085 4892620.97955023 F
McK18 D82522 1 574327.486078101 4892413.07552708 F
McK18 D82522 1 574776.926465057 4892645.62400109 F
McK18 D82522 1 574874.992130579 4892149.81894475 F
McK18 D82522 1 574331.474283529 4892145.31459445 F
McK18 D82522 1 573375.530409474 4892055.54443345 F
McK18 D82522 1 574020.374235388 4891836.56131946 F
McK18 D82522 1 574734.698442033 4892002.94347738 F
McK18 D82522 1 574741.634459401 4892339.89098695 F
McK18 D82522 1 577149.783655135 4897837.33403248 F
McK18 D82522 1 576897.833751103 4897948.27405996 F
